name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Africa,2025-07-25,87.7,65.9,76.2,86,65.9,75.8,57.2,54.2,0.012,9.7,8.33,rain,0,0,33.8,11.6,238.3,1012.8,64.7,15,288.9,25,9,10,2025-07-25T05:52:28,2025-07-25T20:37:59,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Africa,2025-07-26,78,61.4,70.6,78,61.4,70.6,60.2,71.1,0.087,74.2,29.17,rain,0,0,31.8,15.2,217.1,1011.5,88.9,14.1,273.8,23.6,9,10,2025-07-26T05:53:27,2025-07-26T20:36:58,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Africa,2025-07-27,80,59.1,69.2,80,59.1,69.2,56.7,67.4,0.004,74.2,4.17,rain,0,0,15.4,6.7,253,1010.5,52.5,14.8,320,27.6,9,10,2025-07-27T05:54:27,2025-07-27T20:35:56,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Africa,2025-07-28,75.3,62.1,67.1,75.3,62.1,67.1,60.5,80.2,1.193,96.8,16.67,rain,0,0,20.8,5.8,217.6,1004.4,94,11.8,217.3,18.7,9,10,2025-07-28T05:55:28,2025-07-28T20:34:52,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
Africa,2025-07-29,68.1,57.5,63.1,68.1,57.5,63.1,56.6,80,1.689,90.3,25,rain,0,0,35.1,11.4,55.7,1010.1,60.8,10.6,224.8,19.6,8,10,2025-07-29T05:56:30,2025-07-29T20:33:47,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Africa,2025-07-30,77.3,56.6,66.3,77.3,56.6,66.3,52.8,63.8,0,16.1,0,,0,0,8.9,8.7,61.5,1017.5,0.5,15,324.5,28.4,9,10,2025-07-30T05:57:31,2025-07-30T20:32:39,0.18,Clear,Clear conditions throughout the day.,clear-day,
Africa,2025-07-31,81.4,59.1,70.1,80.8,59.1,69.9,51,52.3,0,9.7,0,,0,0,4.6,5.7,61.7,1018.1,0,15,325.6,28.4,9,10,2025-07-31T05:58:34,2025-07-31T20:31:31,0.21,Clear,Clear conditions throughout the day.,clear-day,
Africa,2025-08-01,86.1,63.6,73.7,84.1,63.6,73.4,53.2,50.3,0,9.7,0,,0,0,14.8,7.2,190.3,1014.4,0.1,15,321.4,28.1,9,10,2025-08-01T05:59:36,2025-08-01T20:30:20,0.25,Clear,Clear conditions throughout the day.,clear-day,
Africa,2025-08-02,83.7,62,72.3,82.1,62,72,51.5,49.7,0,32.3,0,,0,0,17.9,15.7,194.4,1010.6,11.6,15,314.1,27.5,9,10,2025-08-02T06:00:39,2025-08-02T20:29:08,0.28,Clear,Clear conditions throughout the day.,clear-day,
Africa,2025-08-03,86.1,62.9,73.2,84.6,62.9,72.9,53.5,51.8,0.008,41.9,8.33,rain,0,0,15.9,9.4,199.4,1011,40.6,15,305.3,26.1,9,10,2025-08-03T06:01:43,2025-08-03T20:27:55,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Africa,2025-08-04,89.1,63.6,75.8,87.9,63.6,75.5,59.1,59.5,0,41.9,0,,0,0,11.4,5.8,144.6,1016.5,37.6,15,282.8,24.5,9,30,2025-08-04T06:02:46,2025-08-04T20:26:39,0.34,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
Africa,2025-08-05,92,68.8,76.8,89.1,68.8,76.6,63,66.8,0.071,25.8,16.67,rain,0,0,21,13.4,208.1,1017.3,83,14.2,202.9,18,8,60,2025-08-05T06:03:50,2025-08-05T20:25:23,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Africa,2025-08-06,74.4,60,67.9,74.4,60,67.9,61.5,80.9,0.484,29,25,rain,0,0,10.5,9.4,98.4,1016.2,23,11.4,296.8,25.8,8,30,2025-08-06T06:04:55,2025-08-06T20:24:05,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Africa,2025-08-07,78.7,58,67.9,78.7,58,67.9,55,66.1,0,22.6,0,,0,0,11.4,10.1,60.8,1013.4,0.2,15,314.9,27.3,9,10,2025-08-07T06:05:59,2025-08-07T20:22:46,0.44,Clear,Clear conditions throughout the day.,clear-day,
Africa,2025-08-08,82.7,60.2,70.7,81.8,60.2,70.6,53.5,55.8,0,22.6,0,,0,0,6.5,8.7,59.6,1013.5,0,15,313.3,27.3,9,10,2025-08-08T06:07:04,2025-08-08T20:21:25,0.47,Clear,Clear conditions throughout the day.,clear-day,
